sample_index,split,reference,sampling_rate,audio_num_samples,audio_duration_sec,whisper_tiny_output,whisper_tiny_latency_sec,whisper_tiny_wer,whisper_base_output,whisper_base_latency_sec,whisper_base_wer,whisper_small_output,whisper_small_latency_sec,whisper_small_wer,whisper_medium_output,whisper_medium_latency_sec,whisper_medium_wer,whisper_large_v3_output,whisper_large_v3_latency_sec,whisper_large_v3_wer,whisper_large_v3t_output,whisper_large_v3t_latency_sec,whisper_large_v3t_wer,gemma3n_e2b_output,gemma3n_e2b_latency_sec,gemma3n_e2b_wer,gemma3n_e4b_output,gemma3n_e4b_latency_sec,gemma3n_e4b_wer,vosk_small_en_us_output,vosk_small_en_us_latency_sec,vosk_small_en_us_wer,vosk_model_en_us_output,vosk_model_en_us_latency_sec,vosk_model_en_us_wer
1,test.clean,IT WAS WRITTEN IN LATIN,16000,31120,1.945,It was written in Latin.,3.7773643555119634,0.0,It was written in Latin.,0.702581262215972,0.0,It was written in Latin,6.1465915236622095,0.0,It was written in Latin,4.078132084570825,0.0,It was written in Latin.,6.087468700483441,0.0,it was written in latin,18.235590094700456,0.0,It was written in Latin.,25.421643699519336,0.0,It was written in Latin.,24.78061074577272,0.0,it was written in latin,1.4750563083216548,0.0,it was written in latin,13.6851815758273,0.0
2,test.clean,CONGRATULATIONS WERE POURED IN UPON THE PRINCESS EVERYWHERE DURING HER JOURNEY,16000,80400,5.025,"Congratulations, report in upon the Princess Everywhere, during her journey.",0.14807576965540648,0.18181818181818182,"Congratulations, we're poured in upon the princess everywhere during her journey.",0.14960395079106092,0.09090909090909091,Congratulations were poured in upon the princess everywhere during her journey.,0.18767084553837776,0.0,Congratulations were poured in upon the princess everywhere during her journey.,0.2821627203375101,0.0,congratulations were poured in upon the princess everywhere during her journey,0.3550237063318491,0.0,Congratulations were poured in upon the princess everywhere during her journey.,0.20014801993966103,0.0,Congratulations were poured in upon the princess everywhere during her journey.,2.327304434031248,0.0,Congratulations were reported upon the princess everywhere during her journey.,2.3640424916520715,0.18181818181818182,congratulations report in upon the princess everywhere during her journey,1.4727141512557864,0.18181818181818182,congratulations were poured in upon the princess everywhere during her journey,1.4628055663779378,0.0
3,test.clean,ONE NIGHT WHEN HE AND WINIFRED WERE SITTING TOGETHER ON THE BRIDGE HE TOLD HER THAT THINGS HAD HAPPENED WHILE HE WAS STUDYING ABROAD THAT HE WAS SORRY FOR ONE THING IN PARTICULAR AND HE ASKED HER WHETHER SHE THOUGHT SHE OUGHT TO KNOW ABOUT THEM,16000,196160,12.26,"One night when he and Winifred were sitting together on the bridge, he told her that things had happened while he was studying abroad, that he was sorry for, one thing in particular and he asked her whether she thought she ought to know about them.",0.29718018136918545,0.0,"One night, when he and Winifred were sitting together on the bridge, he told her the things had happened while he was studying abroad, that he was sorry for. One thing in particular, and he asked her whether she thought she ought to know about them.",0.3189291711896658,0.021739130434782608,"One night, when he and Winifred were sitting together on the bridge, he told her that things had happened while he was studying abroad, that he was sorry for one thing in particular, and he asked her whether she thought she ought to know about them.",0.5004533734172583,0.0,"One night, when he and Winifred were sitting together on the bridge, he told her that things had happened while he was studying abroad, that he was sorry for, one thing in particular, and he asked her whether she thought she ought to know about them.",0.7277133297175169,0.0,one night when he and winifred were sitting together on the bridge he told her that things had happened while he was studying abroad that he was sorry for one thing in particular and he asked her whether she thought she ought to know about them,0.8516715737059712,0.0,one night when he and winifred were sitting together on the bridge he told her that things had happened while he was studying abroad that he was sorry for one thing in particular and he asked her whether she thought she ought to know about them,0.29251862689852715,0.0,"One night when he and Winifred were sitting together on the bridge, he told her the things that had happened while he was studying abroad, that he was sorry for. One thing in particular, and he asked her whether she thought she ought to know about them.",8.88791989441961,0.043478260869565216,"One night when he and Winifred were sitting together on the bridge, he told her of the things that had happened while he was studying abroad, that he was sorry for, one thing in particular, and he asked her whether she thought she ought to know about them.",10.177027094177902,0.06521739130434782,one night when he and winifred were sitting together on the bridge he told of the things had happened while he was studying abroad that he was sorry for one thing in particular and he asked her whether she thought she ought to know about them,2.8049074755981565,0.043478260869565216,one night when he and winifred were sitting together on the bridge he told her that things had happened while he was studying abroad that he was sorry for one thing in particular and he asked her whether she thought she ought to know about them,4.52936848718673,0.0
4,test.clean,WILL CRIED HE SOFTLY AND STUTELEY WHO HAD CHOSEN HIS COUCH ACROSS THE DOOR OF HIS YOUNG MASTER'S CHAMBER SPRANG UP AT ONCE IN ANSWER,16000,134640,8.415,"Will cried he, softly, and Stutley, who had chosen his character across the door of his young master's chamber, sprang up at once an answer.",0.18095097411423922,0.12,"Will, cried he, softly, and stutty, who had chosen his couch across the door of his young master's chamber, sprang up at once an answer.",0.23853235691785812,0.08,"Will, cried he softly, and Stutley, who had chosen his couch across the door of his young master's chamber, sprang up at once an answer.",0.3311091037467122,0.08,"Will, cried he softly, and Stutley, who had chosen his couch across the door of his young master's chamber, sprang up at once an answer.",0.667214841581881,0.08,"""'Will!' cried he softly, and Stutley, who had chosen his couch across the door of his young master's chamber, sprang up at once in answer.",0.7164005553349853,0.12,will cried he softly and studley who had chosen his couch across the door of his young master's chamber sprang up at once in answer,0.24710420239716768,0.04,"Will cried he softly, and Stutley, who had chosen his couch across the door of his young master's chamber, sprang up at once and answered,",5.752848922275007,0.12,"Will cried he softly, and Stutley, who had chosen his couch across the door of his young master's chamber, sprang up at once and answered, """,6.688168223015964,0.12,we'll cried he softly and stoutly who were chosen his couch across the door of his young master chamber sprang up at once had answer,2.1730682905763388,0.2,will cried he softly instantly who had chosen his couch across the door of his young master's chamber sprang up at once had answer,3.2458802284672856,0.12
5,test.clean,BUT THEY COULD NOT HAVE PROVEN A CASE AGAINST LUCY IF SHE WAS INNOCENT AND ALL THEIR THREATS OF ARRESTING HER WERE PROBABLY MERE BLUFF,16000,114320,7.145,"But they could not have proven a case against Lucy, if she was innocent and all their threats of arresting her were probably a mere bluff.",0.19467600155621767,0.04,But they could not have proven a case against Lucy if she was innocent and all their threats of arresting her were probably a mere bluff.,0.23083192855119705,0.04,But they could not have proven a case against Lucy if she was innocent and all their threats of arresting her were probably a mere bluff.,0.28221741132438183,0.04,"But they could not have proven a case against Lucy, if she was innocent, and all their threats of arresting her were probably a mere bluff.",0.46761722303926945,0.04,But they could not have proven a case against Lucy if she was innocent and all their threats of arresting her were probably a mere bluff.,0.5981390383094549,0.04,"But they could not have proven a case against Lucy if she was innocent, and all their threats of arresting her were probably a mere bluff.",0.2731409976258874,0.04,"but they could not have proven a case against Lucy if she was innocent, and all their threats of arresting her were probably a mere bluff.",4.945082949474454,0.04,"but they could not have proven a case against Lucy if she was innocent, and all their threats of arresting her were probably a mere bluff.",5.551108342595398,0.04,but they could not have proven a case against lucy if she was innocent and all their threats of a resting her were probably a mere bluff,2.041577539406717,0.12,but they could not have proven a case against lucy if she was innocent and all their threats of arresting her were probably a mere bluff,2.768265360966325,0.04
6,test.clean,THERE WAS SOMETHING IN HIS CARRIAGE WHICH RESEMBLED THE BUOYANT MOVEMENTS OF AN IMMORTAL AND HE DID NOT DANCE SO MUCH AS SEEM TO SOAR ALONG,16000,146240,9.14,There was something in his carriage which resembled the buoyant movements of an immortal and he did not dance so much as seemed to soar along.,0.2042938442900777,0.038461538461538464,"There was something in his carriage which resembled the buoyant movements of an immortal, and he did not dance so much as seemed to soar along.",0.2412170385941863,0.038461538461538464,"There was something in his carriage which resembled the buoyant movements of an immortal, and he did not dance so much as seemed to soar along.",0.34121628291904926,0.038461538461538464,"There was something in his carriage which resembled the buoyant movements of an immortal, and he did not dance so much as seem to soar along.",0.5091951284557581,0.0,there was something in his carriage which resembled the buoyant movements of an immortal and he did not dance so much as seem to soar along,0.6783683970570564,0.0,there was something in his carriage which resembled the buoyant movements of an immortal and he did not dance so much as seemed to soar along,0.28427377436310053,0.038461538461538464,"There was something in his carriage which resembled the buoyant movements of an immortal, and he did not dance so much as seem to soar along.",6.306830762885511,0.0,"There was something in his carriage which resembled the buoyant movements of an immortal, and he did not dance so much as seem to soar along.",7.134619265794754,0.0,there was something and his carriage which resembled the buoyant movements of an immortal and he did not dance so much as seem to soar along,2.312463279813528,0.038461538461538464,there was something in his carriage which resembled the buoyant movements of an immortal and he did not dance so much as seemed to soar along,2.936826230958104,0.038461538461538464
7,test.clean,BUT I MEAN TO HAVE MY INNINGS BEFORE LONG,16000,43440,2.715,But I mean to have my innings before long.,0.13339204527437687,0.0,but I mean to have my innings before long.,0.14429611526429653,0.0,But I mean to have my innings before long.,0.18601125944405794,0.0,but I mean to have my innings before long.,0.27220731787383556,0.0,But I mean to have my innings before long.,0.34424272552132607,0.0,but I mean to have my innings before long.,0.18142065405845642,0.0,but I mean to have my innings before a long.,2.721590937115252,0.1111111111111111,But I mean to have my innings before long.,2.7915484765544534,0.0,but i mean to have my innings before long,1.2113732164725661,0.0,but i mean to have my innings before long,1.0123008135706186,0.0
8,test.clean,I HAD NOT VENTURED TO HOPE FOR SUCH A REPLY SO CONSIDERATE IN ITS TONE SO NOBLE IN ITS SPIRIT,16000,98480,6.155,"I have not ventured to hope for such a reply, so consider it in its tone, so noble in its spirit.",0.17684650141745806,0.15,"I have not ventured to hope for such a reply, so considerate in its tone, so noble in its spirit.",0.20420700032263994,0.05,"I have not ventured to hope for such a reply, so consider it in its tone, so noble in its spirit.",0.3083831313997507,0.15,"I have not ventured to hope for such a reply, so considerate in its tone, so noble in its spirit.",0.46173245552927256,0.05,"I have not ventured to hope for such a reply, so considerate in its tone, so noble in its spirit.",0.5298677170649171,0.05,"I have not ventured to hope for such a reply, so considerate in its tone, so noble in its spirit.",0.2849961332976818,0.05,"I have not ventured to hope for such a reply, so considerate in its tone, so noble in its spirit.",4.0701030706986785,0.05,"I have not ventured to hope for such a reply, so considerate in its tone, so noble in its spirit.",4.583342875353992,0.05,i have not venture to hope for such a reply so consider its in its tone so noble in its spirit,1.8834330793470144,0.2,i have not ventured to hope for such a reply so consider it in it's tone so noble in it's spirit,2.425596875138581,0.25
9,test.clean,I REALLY DON'T THINK HE KNEW MUCH ABOUT IT MISTER HOLMES,16000,49360,3.085,"I really don't think he knew much about it, Mr. Holmes.",0.12561765033751726,0.09090909090909091,"I really don't think he knew much about it, Mr. Holmes.",0.1490848558023572,0.09090909090909091,"I really don't think he knew much about it, Mr. Holmes.",0.2306286320090294,0.09090909090909091,"I really don't think he knew much about it, Mr. Holmes.",0.31764391530305147,0.09090909090909091,"""'I really don't think he knew much about it, Mr. Holmes.'",0.42742506321519613,0.2727272727272727,i really don't think he knew much about it mr holmes,0.19084650836884975,0.09090909090909091,"I really don't think he knew much about it, Mr. Holmes.",2.9264969741925597,0.09090909090909091,"I really don't think he knew much about it, Mr. Holmes.",3.2895545475184917,0.09090909090909091,i really don't think he knew much about it mr holmes,1.3395072175189853,0.09090909090909091,i really don't think he knew much about it mr holmes,1.182690472342074,0.09090909090909091
10,test.clean,IT HAS EVEN HAPPENED THAT THE NAME FOR CERTAIN DISEASED CONDITIONS OF THE BODY ARISING FROM SUCH AN ORIGIN HAS PASSED INTO EVERYDAY SPEECH AS A SYNONYM FOR NOBLE OR GENTLE,16000,168720,10.545,It has even happened that the name for certain disease conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.,0.17119162902235985,0.03225806451612903,It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.,0.22284375969320536,0.0,It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.,0.32902505807578564,0.0,It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.,0.5270307939499617,0.0,it has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle,0.6892811562865973,0.0,It has even happened that the name for certain diseased conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle.,0.29072063229978085,0.0,It has even happened that the name for certain diseased conditions of the body arising from such origin has passed into everyday speech as a synonym for noble or gentle.,5.422136835753918,0.03225806451612903,It has even happened that the name for certain diseased conditions of the body arising from such origin has passed into everyday speech as a synonym for noble or gentle.,6.089047277346253,0.03225806451612903,it has even happened that the name for certain diseased conditions of the buddy arising from such an origin has passed into everyday speech as a synonym for noble or gentle,2.4822173211723566,0.03225806451612903,it has even happened that the name for certain disease conditions of the body arising from such an origin has passed into everyday speech as a synonym for noble or gentle,3.2817498426884413,0.03225806451612903
